,Proliferation 1h (P1) /Control,Proliferation 6h (P6) /Control,Proliferation 24h (P24) /Control,Quiescence 1h (Q1) /Control,Quiescence 6h (Q6) /Control,Quiescence 24h (Q24) /Control,Quiescence 96h (Q96) /Control,Senescence 1h (S1) /Control,Senescence 6h (S6) /Control,Senescence 24h (S24) /Control,Senescence 96h (S96) /Control
M-CSF Receptor (Ab-809),0.875,1.098,0.85,1.147,0.96,0.953,1.026,0.831,1.163,1.184,1.274
NMDAR2B (Ab-1472),0.978,1.073,0.788,0.336,0.39,0.416,0.344,0.524,0.793,0.642,0.957
PECAM-1 (Ab-713),1.029,0.982,0.725,0.301,0.323,0.34,0.272,0.475,0.835,0.541,0.863
ALK (Ab-1507),1.027,1.018,1.181,0.707,1.056,0.932,0.676,1.069,1.515,1.157,1.192
ALK (Ab-1604),0.905,0.933,0.821,0.775,0.941,0.836,0.756,0.728,0.76,0.735,0.812
BLNK (Ab-96),0.663,1.41,0.931,0.907,0.974,1.137,1.094,1.02,0.658,1.068,1.15
ETK (Ab-40),1.049,1.017,1.135,0.696,0.714,0.73,0.685,1.107,1.295,1.214,1.236
Pim-1 (Ab-309),0.993,1.161,0.793,0.815,1.036,0.898,1.076,0.967,0.852,1.003,1.241
PLD1 (Ab-561),1.045,1.261,0.774,1.321,1.571,1.658,1.327,1.108,0.849,1.102,1.348
BCR (Ab-360),1.054,1.034,1.16,0.68,0.715,0.724,0.705,1.226,1.337,1.189,1.141
ETK (Ab-566),1.05,1.016,1.12,0.878,0.895,0.933,0.893,1.05,1.179,1.36,1.11
CD5 (Ab-453),0.933,0.916,0.811,0.48,0.488,0.521,0.487,0.989,1.014,0.936,1.077
M-CSF Receptor (Ab-561),1.017,1.019,1.015,0.638,0.749,0.815,0.738,1.265,1.222,1.132,1.041
DAPP1 (Ab-139),1.015,1.028,0.95,0.591,0.766,0.716,0.802,1.018,0.986,1.023,1.107
DDX5/DEAD-box protein 5 (Ab-593),1.128,1.044,0.868,0.662,0.934,1.149,0.813,1.095,0.981,1.042,1.131
Raf1 (Phospho-Ser289),0.913,0.934,0.824,0.716,0.689,0.66,0.683,1.065,1.097,1.161,1.039
VEGFR2 (Ab-1054),1.036,1.055,0.978,0.694,0.576,0.707,0.637,1.191,1.143,1.23,1.17
Vinculin (Ab-821),1.108,1.131,1.075,0.764,1.088,1.073,1.045,1.183,1.119,1.199,1.238
HRS (Ab-334),0.937,0.947,0.897,1.635,1.657,1.483,1.791,1.025,0.898,0.861,0.925
LCK (Phospho-Tyr393) ,1.131,1.128,1.279,2.75,3.205,2.808,3.355,0.998,1.141,1.17,1.322
MKK3/MAP2K3 (Phospho-Ser189),1.123,1.062,1.159,1.433,1.908,1.781,1.925,0.763,1.102,0.987,1.291
Chk2 (Phospho-Ser516) ,1.119,1.212,1.185,0.985,1.264,1.249,1.277,0.791,1.176,0.937,1.16
TYK2 (Phospho-Tyr1054) ,1.091,0.972,1.124,1.084,1.106,1.058,1.12,0.703,0.948,0.943,1.068
JAK1 (Phospho-Tyr1022) ,1.014,0.918,1.146,1.247,1.158,1.125,1.564,0.764,0.88,1.078,1.176
JAK2 (Phospho-Tyr221) ,1.072,1.104,1.137,1.593,1.915,1.616,1.984,0.785,1.01,0.921,1.107
JAK2 (Phospho-Tyr1007) ,1.048,0.955,1.17,0.935,0.802,0.775,0.722,0.927,1.014,0.958,0.964
IkB-alpha (Phospho-Ser32/36) ,1.198,1.094,0.944,0.293,0.381,0.333,0.331,0.568,0.8,0.622,1.073
Src (Phospho-Tyr529) ,1.211,1.176,1.236,1.399,1.694,1.484,1.634,0.909,1.099,1.142,1.254
eNOS (Phospho-Ser1177) ,1.1,1.03,1.1,1.981,2.575,1.594,2.979,0.765,0.894,0.855,1.046
FKHRL1/FOXO3A (Phospho-Ser253) ,1.143,1.134,1.13,1.23,1.083,1.181,1.308,0.92,0.984,0.95,1.018
VASP (Phospho-Ser238) ,1.102,1.053,1.069,1.413,1.896,1.413,2.173,0.777,0.934,0.895,1.125
Zap-70 (Phospho-Tyr319) ,1.005,1.047,1.049,1.508,1.468,1.6,1.582,0.778,1.024,0.752,1.04
Zap-70 (Phospho-Tyr493) ,1.065,1.092,1.042,1.267,1.39,1.273,1.19,0.822,0.888,0.822,1.002
MEK1 (Phospho-Ser221) ,1.016,1.374,1.494,1.514,1.428,1.774,1.669,1.211,0.727,0.929,0.886
IkB-alpha (Phospho-Tyr42) ,1.144,1.064,0.993,1.364,1.664,1.563,1.496,0.898,0.849,1.066,0.963
STAT1 (Phospho-Ser727) ,1.136,1.003,0.945,1.118,1.041,1.23,1.073,1.003,0.881,0.921,0.988
AMPK1/AMPK2 (Phospho-Ser485/491) ,1.013,1.123,0.952,2.031,2.279,1.986,2.046,0.966,0.92,0.948,1.111
MKK4/SEK1 (Phospho-Thr261) ,1.102,1.087,0.997,1.737,2.192,2.055,1.964,1.029,0.954,0.762,0.851
eEF2K (Phospho-Ser366),1.037,1.242,1.199,1.1,1.23,1.175,1.362,0.781,1.051,0.755,1.065
Filamin A (Phospho-Ser2152),1.21,1.363,1.373,1.081,1.222,1.227,1.261,0.864,1.278,0.98,1.251
c-Jun (Ab-63) ,1.102,1.077,1.356,1.205,1.89,1.471,1.402,0.881,1.327,0.895,1.049
GSK3 beta (Ab-9) ,1.032,0.977,1.261,0.911,0.798,0.823,0.76,0.75,0.993,1.191,1.301
FLT3 (Phospho-Tyr599),0.996,1.148,1.182,1.134,1.514,1.243,1.444,0.968,1.16,0.909,1.026
Elk1 (Ab-383) ,1.045,1.035,1.461,0.644,1.036,0.874,0.971,1.016,1.515,0.973,1.042
PDK1 (Ab-241) ,1.027,1.026,0.966,0.342,0.427,0.369,0.379,0.666,0.843,0.653,1.09
Raf1 (Ab-259) ,0.895,0.864,1.006,0.665,0.783,0.73,0.7,0.818,0.867,0.753,0.805
GSK3 alpha (Ab-21) ,1.063,1.072,1.164,0.856,1.291,1.146,1.185,0.882,1.164,0.861,0.906
MEK2 (Ab-394) ,1.077,0.968,0.995,1.212,1.331,1.203,1.432,0.808,0.866,0.817,1.041
PTEN (Ab-380) ,0.86,0.979,0.906,0.494,0.638,0.53,0.55,0.724,0.766,0.61,0.749
NFkB-p65 (Ab-254) ,0.968,2.487,2.792,1.47,2.303,2.2,2.387,2.501,2.766,1.195,1.176
NFkB-p65 (Ab-276) ,0.874,0.887,0.911,0.571,0.608,0.604,0.603,0.854,0.863,0.911,1.016
NFkB-p65 (Ab-435) ,1.018,0.965,1.238,0.879,1.23,1.318,1.125,1.105,1.118,1.068,1.026
NFkB-p65 (Ab-468) ,1.216,1.236,1.383,0.87,1.088,1.066,0.956,1.115,1.129,1.085,1.138
NFkB-p65 (Ab-536) ,0.919,0.857,0.842,0.986,1.092,1.002,1.151,0.775,0.768,0.857,1.001
NFkB-p100/p52 (Ab-865) ,1.007,1.075,0.729,0.452,0.499,0.467,0.497,0.686,0.63,0.603,1.007
NFkB-p100/p52 (Ab-869) ,0.851,1.025,0.888,0.876,0.967,0.881,1.054,0.745,0.812,0.951,1.136
NFkB-p105/p50 (Ab-337) ,0.941,0.933,0.875,0.691,1.216,1.108,1.009,0.804,0.858,0.767,0.864
LCK (Ab-393) ,0.868,0.95,0.733,1.197,1.633,1.31,1.641,0.84,0.75,0.265,0.303
Src (Ab-529) ,0.815,0.867,0.991,1.97,2.287,2.192,2.197,0.723,0.975,1.002,0.994
eNOS (Ab-1177) ,0.981,1.017,1.153,1.572,2.553,2.244,2.507,0.894,1.171,0.849,0.953
FKHRL1/FOXO3A (Ab-253) ,0.877,0.914,0.962,0.442,0.777,0.741,0.783,0.729,0.873,0.252,0.294
VASP (Ab-238) ,1.088,1.014,1.097,0.512,0.71,0.685,0.808,0.969,1.149,0.69,0.802
Zap-70 (Ab-319) ,0.953,0.908,0.861,0.485,0.569,0.589,0.581,0.591,0.779,0.696,1.014
Zap-70 (Ab-493) ,1.169,1.022,1.358,0.934,1.162,1.167,1.251,1.003,1.228,1.197,1.287
MEK1 (Ab-221) ,1.081,0.995,1.218,0.641,0.771,0.749,0.68,0.938,1.164,1.049,1.163
IkB-alpha (Ab-42) ,0.957,0.82,1.14,1.081,1.375,1.217,1.724,1.056,1.139,0.968,0.966
STAT1 (Ab-727) ,1.013,0.883,0.806,0.912,1.032,1.128,1.123,0.721,0.854,1.123,1.128
SMC1 (Ab-957) ,0.933,0.972,0.973,1.033,1.198,0.992,0.974,1.019,0.782,0.962,1.064
BCR (Ab-177) ,1.091,1.045,1.034,0.805,0.922,0.956,0.895,1.013,1.068,0.933,1.06
MSK1 (Ab-376) ,0.946,0.867,0.978,0.741,0.976,0.869,0.836,0.807,0.886,0.827,0.803
Paxillin (Ab-31) ,1.118,1.112,1.142,0.519,0.666,0.572,0.576,0.474,0.549,0.567,0.58
Ezrin (Ab-566) ,0.933,0.987,0.793,0.557,0.775,0.682,0.692,0.616,0.692,0.584,0.923
Rac1/cdc42 (Ab-71) ,0.984,0.781,0.933,0.504,0.841,0.761,0.746,0.797,0.854,0.646,0.728
Raf1 (Ab-338) ,0.993,0.908,1.161,0.677,0.932,0.868,0.798,0.9,0.979,0.925,0.959
MEK1 (Ab-217),1.226,1.155,1.43,0.699,1.424,0.981,0.78,0.936,1.136,1.009,0.926
VASP (Ab-157) ,0.978,0.927,0.63,0.66,0.806,0.631,0.533,0.638,0.744,0.702,0.891
Cyclin B1 (Phospho-Ser126),1.094,1.025,1.117,1.262,1.589,1.56,1.456,1.037,1.14,0.871,1.042
EEF2 (Phospho-Thr56),0.998,1.659,1.898,1.051,1.334,1.262,1.6,1.626,1.967,1.524,1.556
HSL (Phospho-Ser554),1.029,1.035,1.086,0.954,1.11,1.147,1.371,0.983,1.296,0.914,1.062
Pyk2 (Phospho-Tyr881),1.309,1.023,1.083,0.96,1.08,0.994,1.202,0.963,1.259,0.936,0.993
SRF (Phospho-Ser99),1.18,1.252,0.973,1.162,1.234,1.337,1.26,0.817,1.036,1.189,1.37
STAT2 (Phospho-Tyr690),1.233,1.024,1.173,0.743,0.955,0.841,0.833,0.952,1.379,1.036,1.131
SYK (Phospho-Tyr525),0.909,0.73,0.861,1.025,1.098,1.179,1.299,0.758,0.932,0.858,0.875
4E-BP1 (Phospho-Ser65),0.851,1.314,1.033,0.835,0.823,1.032,0.923,0.838,0.923,0.922,1.213
4E-BP1 (Phospho-Thr70),1,1.131,1.174,0.993,1.219,1.168,1.151,0.837,0.882,0.939,0.95
Abl1 (Phospho-Tyr412),1.166,1.02,1.041,0.773,1.064,0.919,1.145,0.875,1.038,0.889,0.935
Abl1 (Phospho-Tyr204),0.922,1.082,1.128,1.163,1.204,1.063,1.148,0.964,1.018,1.091,1.016
ACC1 (Phospho-Ser79),1.046,0.99,0.946,0.793,1.277,0.851,0.755,0.994,0.961,0.969,0.966
AKT1 (Phospho-Thr450),0.888,0.884,0.876,1.137,1.28,1.169,1.132,1.115,0.872,1.04,0.966
AKT1 (Phospho-Ser124),0.981,1.049,0.981,0.749,0.657,0.61,0.64,0.987,1.041,1.042,1.026
AMPK beta1 (Phospho-Ser182),0.923,1.045,1.082,1.11,0.973,0.933,1.019,0.862,0.856,0.88,1.002
Chk2 (Phospho-Thr387),1.013,0.844,0.892,0.778,0.982,0.898,0.722,0.982,0.892,0.932,0.818
Cyclin D1 (Phospho-Thr286),0.499,0.417,0.389,0.299,0.334,0.315,0.313,0.384,0.318,0.747,0.39
Cyclin D3 (Phospho-Thr283),1.065,0.946,0.889,1.241,0.97,1.171,1.3,0.924,0.774,0.915,0.94
DAXX (Phospho-Ser668),0.729,0.705,0.664,0.66,0.593,0.664,0.597,0.589,0.64,0.513,0.506
CD4 (Phospho-Ser433),1.255,1.302,1.099,2.527,1.847,1.679,1.969,1.223,1.15,1.033,1.313
CD45 (Phospho-Ser1007),1,1.035,0.895,0.993,1.186,1.218,1.18,0.822,0.997,0.946,0.998
CDC25A (Phospho-Ser124),0.986,1.123,1.165,0.605,0.568,0.678,0.555,0.917,1.159,1.197,1.405
CDC25B (Phospho-Ser353),1.058,0.926,1.025,0.741,0.743,0.744,0.764,0.917,1.013,0.934,1.118
CDK7 (Phospho-Thr170),0.986,1.107,0.949,1.021,1.122,1.024,1.331,0.852,1.023,0.905,0.97
Chk1 (Phospho-Ser286),0.963,0.729,1.099,0.817,0.792,0.67,0.757,0.837,1.212,0.761,0.961
Chk1 (Phospho-Ser301),1.05,1.096,0.838,2.655,2.124,2.165,2.376,0.892,1.017,0.727,1.159
Met (Phospho-Tyr1003),1.173,1.299,1.301,1.928,1.767,1.859,2.12,0.985,1.273,1.062,1.275
Coagulation Factor III (Phospho-Ser290),1.072,0.829,0.925,1.333,1.289,1.387,1.398,1.051,0.95,0.906,0.937
CXCR4 (Phospho-Ser339),1.092,1.058,1.014,0.833,0.786,0.749,0.764,0.99,1.122,0.921,1.064
Keratin 18 (Phospho-Ser52),1.022,0.906,0.991,1.184,1.336,1.288,1.289,0.892,0.918,0.763,0.858
Keratin 8 (Phospho-Ser432),0.797,1.177,0.961,0.49,0.734,0.642,0.71,0.617,0.93,0.495,0.6
Catenin delta-1 (Phospho-Tyr228),0.982,0.932,1.092,0.603,0.647,0.647,0.572,0.917,0.904,0.97,0.999
Raf1 (Phospho-Ser43),1.215,1.068,1.175,0.89,0.986,1.02,0.966,0.983,0.979,1.073,1.262
DNA-PK (Phospho-Thr2647),0.993,0.927,1.042,0.784,0.818,0.817,0.758,1.015,1.049,1.254,1.075
DNA-PK (Phospho-Thr2638),1.026,0.87,0.858,0.833,0.872,0.803,0.766,0.914,0.745,1.103,1.031
EGFR (Phospho-Tyr1069),1.132,0.799,0.915,2.038,2.213,2.315,1.818,0.902,0.679,0.817,0.879
ERK3 (Phospho-Ser189),0.849,0.886,0.841,1.539,1.482,1.674,1.773,0.946,0.766,0.901,1.066
ERK8 (Phospho-Thr175/Tyr177),1.067,1.003,0.954,0.927,0.907,1.088,0.865,1.216,1.074,1.282,1.216
Lamin A (Phospho-Ser22),0.855,0.85,0.739,1.147,0.726,0.626,0.641,0.548,0.592,0.74,0.999
AurB (Phospho-Thr232),0.979,0.952,1.004,0.634,0.702,0.769,0.719,0.901,1.242,0.555,0.616
AurB (Phospho-Tyr12),0.939,0.986,1.124,0.95,1.516,1.295,1.311,0.766,1.08,1.102,1.134
AurA (Phospho-Thr288),0.942,0.969,1.042,0.696,1.12,1.071,0.779,0.774,1.173,0.704,1.095
Integrin beta-1 (Phospho-Thr788),1.111,1.075,1.142,0.812,1.29,1.083,1.316,0.947,1.218,0.914,1.101
PDGFR beta (Phospho-Tyr740),0.919,0.922,0.879,0.438,0.716,0.683,0.58,0.659,0.674,0.624,0.929
PDGFR beta (Phospho-Tyr1021),1.051,0.926,0.874,0.556,0.64,0.739,0.774,0.717,0.826,0.851,1.13
PDGFR alpha (Phospho-Tyr849),1.243,1.083,1.252,0.759,0.998,0.765,0.811,1.024,1.215,0.976,1.007
FADD (Phospho-Ser194),1.058,0.896,0.955,0.381,0.426,0.465,0.344,1.023,0.937,0.793,0.942
Survivin (Phospho-Thr117),1.069,1.015,1.131,0.814,0.707,0.816,0.796,1.127,1.097,1.11,1.192
TOP2A/DNA topoisomerase II (Phospho-Ser1106),1.123,1.149,1.2,0.687,0.697,0.727,0.611,1.095,1.292,1.561,1.297
BTK (Phospho-Tyr551),1.001,0.951,1.117,0.817,0.77,0.81,0.786,1.107,1.152,1.27,1.248
IL3RB (Phospho-Tyr593),1.089,0.738,1.167,0.721,0.982,1.065,0.774,1.058,1.034,0.907,0.942
IR (Phospho-Tyr1355),0.923,0.889,1.003,1.476,1.466,1.545,1.916,0.818,0.899,1.153,1.056
IR (Phospho-Tyr1361),1.308,0.9,0.829,1.21,1.351,1.376,1.102,0.943,0.975,0.887,1.374
KIT (Phospho-Tyr936),1.341,1.191,1.069,0.601,0.547,0.548,0.562,0.823,1.142,1.106,1.408
KIT (Phospho-Tyr703),1.07,0.925,0.751,1.25,1.081,1.264,1.245,0.972,0.767,1.064,1.014
M-CSF Receptor (Phospho-Tyr809),1.308,1.169,1.032,0.669,0.636,0.68,0.669,0.946,0.826,1.164,1.486
Met (Phospho-Tyr1356),0.506,0.521,0.456,0.225,0.239,0.262,0.265,0.484,0.426,0.322,0.557
Raf1 (Ab-341),1.074,1.021,1.038,1.126,1.39,1.402,1.53,0.765,0.774,0.836,1.018
Raf1 (Ab-621),1.007,1.069,1.099,1.247,1.316,1.243,1.377,0.778,0.997,1.191,1.365
RhoA (Ab-188),1.072,1.01,1.023,0.415,0.491,0.53,0.455,0.766,0.971,0.723,1.028
RyR2 (Ab-2808),0.983,0.933,1.121,0.96,1.263,1.296,1.099,0.758,1.065,1.011,1.141
Synapsin (Ab-62),1.064,1.078,1.253,0.673,0.706,0.645,0.52,0.928,1.232,1.072,1.211
Trk A (Ab-496),1.001,0.957,1.112,1.229,1.561,1.651,1.602,0.804,0.969,0.743,0.788
Tuberin/TSC2 (Ab-939),1.452,1.149,1.307,0.648,0.744,0.807,0.74,0.845,1.175,0.986,1.225
Tuberin/TSC2 (Ab-1462),1.09,1.052,1.21,0.636,0.741,0.795,0.788,1.026,1.239,1.185,1.194
Tyrosine Hydroxylase (Ab-8),1.009,0.979,0.821,0.717,0.743,0.75,0.795,0.786,0.789,0.432,0.449
VAV1 (Ab-160),1.08,0.83,0.857,2.01,1.797,1.781,2.227,1.114,1.156,1.024,1.113
VEGFR1 (Ab-1333),0.973,0.94,0.954,0.952,1.091,0.979,0.942,0.903,0.825,0.97,1.149
VEGFR2 (Ab-1059),1.004,0.936,0.959,0.993,1.237,1.194,1.248,0.823,0.948,1.111,1.202
WASP (Ab-290),0.896,0.815,1.123,0.989,1.426,1.135,1.209,0.857,0.965,1.035,1.001
Zap-70 (Ab-292),0.98,0.895,0.953,0.876,1.063,1.021,0.983,0.926,1.01,0.935,0.987
AKT1 (Ab-474),1.031,1.066,1.024,1.102,1.97,1.928,2.223,0.948,0.924,1.258,1.269
AKT1 (Ab-246),0.986,0.931,0.962,0.762,0.793,0.732,0.754,0.884,0.984,1.137,0.987
PLK1 (Phospho-Thr210),1.018,0.878,0.925,0.922,0.864,0.848,1.063,0.836,0.866,0.908,1.038
AKT1 (Ab-72),1.154,1.217,0.961,0.576,0.869,0.767,0.64,0.593,0.747,1.003,1.521
CD32 (FcgammaRIIb) (Ab-292),1.376,0.522,1.068,0.575,0.459,0.469,0.676,0.867,0.435,0.561,0.675
MKK7/MAP2K7 (Ab-271),1.192,1.375,1.377,0.87,1.539,1.439,1.741,1.137,1.308,1.022,1.326
P70S6K (Ab-427),1.027,1.492,1.716,1.113,1.484,1.494,1.802,1.447,2.031,1.707,1.938
P70S6K-beta (Ab-423),1.048,1.79,2.03,0.804,1.046,1.076,1.106,1.532,2.101,1.841,2.417
PAK1 (Ab-204),0.923,0.956,0.976,1.047,1.023,0.977,1.039,0.854,1.046,0.985,1.213
PAK2 (Ab-192),0.927,0.972,1.069,0.751,1.138,0.912,0.975,0.763,0.876,0.937,1.004
PAK2 (Ab-197),0.965,0.974,0.877,0.456,0.495,0.516,0.426,0.666,0.832,0.828,1.188
PAK3 (Ab-154),1.028,1.085,1.142,0.58,0.831,0.936,0.808,1.055,1.237,0.949,1.135
PKC beta/PKCB (Ab-661),1.08,1.079,1.023,1.134,1.134,1.174,1.404,0.864,1.08,1.185,1.323
Raf1 (Ab-289),1.201,0.956,0.885,0.82,1.075,0.942,1.04,0.879,1.027,0.781,0.872
RSK1/2/3/4 (Ab-221/227/218/232),0.93,1.019,1.113,1.216,1.378,1.232,1.492,1.003,0.954,0.964,1.163
Src (Ab-75),1.084,0.89,0.964,0.633,0.758,0.711,0.668,0.995,1.033,1.04,1.133
LAT (Ab-161),0.946,0.885,0.985,0.758,0.765,0.774,0.779,0.942,1.036,1.174,1.243
SLP-76 (Ab-128),0.836,0.646,0.803,0.958,1.108,1.214,1.323,0.971,0.977,0.853,0.814
LCK (Ab-59),1.013,1.044,1.084,0.684,0.712,0.704,0.656,1.068,1.078,1.182,1.196
Fos (Ab-232),0.999,1.03,1.127,0.581,0.781,0.659,0.785,0.915,1.009,0.838,0.969
Gab2 (Ab-159),1.085,0.975,1.023,0.609,0.55,0.602,0.493,1.095,1.028,1.074,1.059
BCL-6 (Ab-333),1.051,0.936,0.786,0.96,1.617,1.432,1.524,1.06,0.761,1.076,1.087
BRCA1 (Ab-1457),1.1,1.032,1.1,1.104,1.266,1.18,1.417,1.067,0.86,0.938,1.02
Cyclin D2 (Ab-280),1.335,1.27,1.29,1.714,1.844,1.974,1.791,1.51,0.896,1.078,1.401
IL-10R-alpha (Ab-496),1.075,1.033,1.043,0.762,0.948,0.815,0.766,0.928,1.227,0.771,1.062
IL-13R/CD213a1 (Ab-405),1.087,1.202,1.011,1.015,1.017,1.155,1.113,0.824,1.286,1.191,1.508
IL-4R/CD124 (Ab-497),0.996,1.094,0.938,1.516,1.599,1.953,2.077,0.947,1.115,0.875,1.054
Integrin beta-4 (Ab-1510),1.195,1.06,1.208,1.684,2.486,2.495,2.381,0.968,1.17,1.118,1.333
Kv1.3/KCNA3 (Ab-135),1.06,1.003,0.958,0.769,0.957,0.799,0.677,0.866,1.128,0.469,0.508
CDK5 (Ab-15),0.981,1.066,0.952,0.379,0.406,0.386,0.328,0.766,0.893,0.233,0.288
STAM2 (Ab-192),1.156,1.201,1.319,0.687,0.857,0.8,0.784,1.188,1.296,0.521,0.606
FER (Ab-402),1.499,1.463,1.367,1.998,1.851,1.905,1.885,1.013,1.218,0.875,1.207
Claudin 3 (Ab-219),1.374,1.23,1.521,1.142,1.15,1.439,1.533,1.076,1.128,1.12,1.114
Claudin 7 (Ab-210),1.069,1.008,1.148,0.61,0.73,0.707,0.605,1.041,1.174,0.994,1.055
