,control,Quiescent 1h,Quiescent 6h,Quiescent 24h,Quiescent 96h,Rapamycin 1h,Rapamycin 6h,Rapamycin 24h,Rapamycin 96h,IGF 0.5h,IGF 1h,IGF 3h,IGF 6h,IGF 24h,Apoptosis 0.5h,Apoptosis 1h,Apoptosis 3h,Apoptosis 6h,Senescent 1h,Senescent 6h,Senescent 24h,Senescent 96h
LYN (Ab-507),26142.5,44647,31467.5,19934,2978.5,2571.5,17783.5,18166.5,18262,14575,7783,14978.5,17908,9214.5,24682,7494,22653,16893.5,17815,15823.5,21077.5,16216
PLCG2 (Ab-753),1447,1686.5,1635.5,1502.5,1214,1356.5,1138,671,598.5,943,1258.5,1297,1219.5,1293.5,1030.5,697,856.5,1484.5,1675,1231,1519,531.5
ATF1 (Ab-63),1546,1205.5,2276,2158,1937.5,1048.5,1317.5,774,710.5,810,884.5,1740,869,1500.5,1624.5,1003,724.5,1051.5,1719.5,1125,1498,689.5
CD19 (Ab-531),1099.5,1442,1607.5,2290.5,1655,1040,1262.5,807,839,1146.5,1083.5,2084.5,1518.5,1880,1359.5,3386,926,915.5,1545.5,1364.5,1474,848
ATPase (Ab-16),1112,1015.5,1344.5,1137,1215.5,733.5,1056,563,547.5,1066,889.5,1877,959,1561,1475.5,2043,469.5,634.5,1173.5,975.5,1016.5,476
FGFR1 (Ab-766),1183,1701.5,1862,1125,1576,1160.5,1461,1011,683,1380.5,1549.5,1518.5,821,1390,2012.5,1282,833,1369.5,1471.5,1101.5,1378.5,867.5
AKT1 (Phospho-Thr308),532,620.5,1027,768.5,868.5,633,913.5,838,721,761.5,778.5,1013.5,792.5,1114,1227,848,749.5,582.5,1048.5,1062,877,641.5
PTEN (Phospho-Ser380/Thr382/Thr383),1764.5,1869.5,2212.5,1798.5,2943,1596.5,2474.5,1279.5,1171.5,1570,1809.5,2832.5,2093.5,2020,2008.5,1515,1276.5,1520.5,2043.5,1864.5,1977.5,1125
P95/NBS1 (Phospho-Ser343),1080,1253,2148.5,1408.5,1464,1082,1598.5,979,895.5,964,1370,2512,1897,1642.5,1825.5,1372.5,823,1163.5,1530.5,1791,1739,790
P73 (Phospho-Tyr99),1377,1553,1835.5,1416,1697,1266,1530,1235.5,1071,1266,1601,2399,2078,1895,2077.5,1464,1273.5,1392,1737.5,1666.5,1830.5,1031
FAK (Phospho-Tyr861),1050.5,1066,1812,1318.5,1157.5,896.5,1272,981.5,805.5,1182.5,1305.5,1849.5,1520,1498,1712,1178,877,813.5,1374.5,1376.5,1421.5,875
Integrin beta-3 (Phospho-Tyr773),1385.5,1365.5,2075,1562.5,1843,1385,1572,1244,1195,1238,1572.5,2205,1528,1937,1760.5,1329.5,1254.5,1316,1658.5,1631,1677.5,1167.5
Chk2 (Phospho-Thr68),1080,1033.5,1620.5,1139,1400.5,884,1374.5,864.5,807,1201,1112,1739.5,1169.5,1468.5,1280,956,856,925.5,1356,1273,1234.5,793.5
PTEN (Phospho-Ser370),816.5,619,1155.5,894,1105.5,757,1063.5,652.5,598,757,903.5,1794.5,1148.5,1472.5,1139,693.5,520,657.5,1147,1026,780,634
Ezrin (Phospho-Tyr353),867.5,954,1531.5,1035.5,1080.5,749.5,1106.5,753,722.5,852.5,938.5,1426.5,1063,1370.5,1341,959.5,672.5,917.5,1210,1116,1158.5,744
BCL-2 (Phospho-Thr56),1249,1286.5,1937.5,1468,1679.5,1018,1563.5,1088,979,1277,1516,2299,1154,1818.5,1673.5,1241.5,904,1124,1639.5,1477,1576.5,973
BCL-2 (Phospho-Ser70),951.5,943.5,1427.5,1074,1452.5,907,1439,852.5,839.5,1204.5,1325.5,1965.5,1627.5,1566,1420,1038,973,1864.5,1318.5,1341.5,1174.5,758
BCL-XL (Phospho-Ser62),2008,2245,2393,1880,2525,2136,2330.5,1582.5,1548.5,1644,1651.5,2288,1489,3064.5,2053,1789,1503.5,1822.5,2216,2301,2080,1482
BAD (Phospho-Ser112),1429.5,1466.5,1758.5,1539,1538.5,1154.5,1764.5,1078.5,916,1206.5,1206.5,1937,1862.5,2261,1780,1382.5,744,1240.5,1708.5,1631.5,2379.5,1198
BAD (Phospho-Ser136),886.5,981.5,1395,1012,1391,819,1207,745,714.5,1048.5,1116,1519.5,1031,1569,1192,889.5,578.5,683,1278.5,1093.5,1059,618
BAD (Phospho-Ser155),1168.5,1274,1491,1177,1404.5,971.5,1434.5,927.5,847.5,1095.5,1245.5,2219.5,1642,1955.5,1559.5,1154,987.5,1098.5,1538.5,1444.5,1631,939.5
Estrogen Receptor-alpha (Phospho-Ser104),1246.5,1462,1958,1663.5,1586,1147,1563,1180.5,1119.5,1073,1410.5,2315.5,1506.5,2088.5,1857.5,1383,1230,1248,1633,1748,1564,1066
Estrogen Receptor-alpha (Phospho-Ser106),1074.5,1221,1444.5,1470.5,1294,1046,1194.5,1027,912.5,1049,1168,1540,1148,2117.5,1614.5,1036.5,730,944.5,1295,1220,1559.5,908
Estrogen Receptor-alpha (Phospho-Ser118),1066.5,946,1428.5,1145.5,1375.5,864,1129.5,896.5,786,986,1057.5,1349,911,1582.5,1238.5,1260,784,776.5,1200,1163.5,1054.5,782.5
Estrogen Receptor-alpha (Phospho-Ser167),1383.5,1512.5,1777.5,1406.5,1433,1006,1419,1294.5,1118.5,1125,1480.5,1945.5,1683,2099.5,1827,1437.5,1696,1457.5,1595,1522.5,1530.5,1026
Synuclein alpha (Phospho-Tyr125),1074,1174.5,1647.5,1612,1586,998,1340.5,1219.5,771,843.5,1237.5,1970.5,1513.5,1858.5,1995.5,1492.5,900.5,1167,1569,1579,1520.5,1039
Tau (Phospho-Thr212),1398,1343.5,1843,1204.5,1711.5,1075,1477.5,1347.5,1101,1202,1388,2338,2170,1841.5,1959.5,1376,1299.5,1177.5,1533.5,1729.5,1734.5,944.5
Connexin 43 (Phospho-Ser367),868,894.5,1882.5,1108.5,1684.5,1028,1244.5,950,1029,999,1231.5,1907.5,1175,1916,1784,1032.5,674.5,1152,1536.5,1244.5,1253,867.5
DAB1 (Phospho-Tyr232),922.5,1039.5,1885,1314,1168,904.5,1220.5,870,814,933.5,1168,2216,1646.5,1507,1890.5,1232,668.5,859,1443,1236.5,1631.5,785.5
NFkB-p65 (Phospho-Ser311),2509.5,3141,5239.5,3555.5,2241.5,2525.5,3900.5,2309,1916,1832.5,2715,4857,4058,4747,4818.5,3176,1603.5,2639,4351.5,4098,4516,2363.5
GluR1 (Phospho-Ser849),1193.5,1243,1878,1365,1483.5,990.5,1408.5,1019.5,931.5,1888,1338,2160,1679,1798.5,1732,1287.5,959,1118,1556,1460.5,1482,899
GluR1 (Phospho-Ser863),1434,1496,2565.5,1659,1373.5,1260,1998,1158,1062,1878,2205.5,2836.5,2537.5,2453.5,1894.5,1546.5,1250,1533.5,2034,1913,1933,1102.5
HSF1 (Phospho-Ser303),1336.5,1247,2026,1346.5,1388.5,1031.5,1636,821.5,848,1041.5,1399,2641,1762,2075.5,1701.5,1161,865.5,1086.5,1567.5,1555,1698,842.5
EGFR (Phospho-Tyr1110),1209,1324,1817,1301.5,1565.5,1063.5,1534,1002.5,950.5,1177,1942,1680,1388,1747.5,1498,1053.5,757.5,1029,1639,1393.5,1560,927
MARCKS (Phospho-Ser163),1049,1129.5,1917.5,1251,1343,975,1515.5,890.5,856.5,1000.5,1258,2371.5,1543,1908.5,1905.5,1393.5,662.5,922.5,1655,1576.5,1422,848.5
Merlin (Phospho-Ser518),1024.5,1084.5,1547.5,1079.5,1376,906,1440.5,744.5,727,998,1204,2052,1165.5,1647,1397.5,928,615,866,1463,1265,1216.5,696.5
Synapsin (Phospho-Ser9),746.5,925.5,1374.5,1117,1458.5,916.5,1495,838.5,696.5,946.5,1270,1707.5,1020,1510.5,1262.5,975.5,618.5,1153,1309.5,1201,1185.5,660
Histone H2A.X (Phospho-Ser139),1901,1260.5,2572,1578.5,2453,1397.5,2631.5,1379.5,1333,2187.5,1291,2836,1666,2564.5,1706,1406.5,1178.5,1895,2186,1970.5,2306,1263
P70S6K (Phospho-Ser411),1005,1283.5,1660,1295,1263.5,962,1379.5,831.5,788,1016.5,1188,2462,1688.5,2044,1623,1100,679.5,955,1631.5,1360,1678.5,738.5
Tau (Phospho-Ser422),951.5,1013.5,1430,1018,1404,776.5,1269,781.5,692,954.5,1026,2165,1072.5,1822,1302,858,542.5,747.5,1387,1172.5,1125.5,579.5
Cortactin (Phospho-Tyr421),1870,2059.5,2379,1398,2443,1545,2019,1720,1542,1247.5,1903,2593,2421.5,2397.5,2335.5,2425,1558,1751,1677,2322.5,1905.5,1420.5
Cortactin (Phospho-Tyr466),1108,1436,2108.5,1383,1599,1118.5,1444,1087.5,1043,1067,1338,2445,1592,2565.5,1961,1369.5,1338.5,1281,1716,1712,1795,931.5
CREB (Phospho-Ser129),948,1003,1443.5,874.5,1236,779,1254.5,813.5,692.5,1002.5,1088,1668,1259,1637.5,1383.5,1092,622.5,911.5,1176,1277,1227.5,594.5
DAB1 (Phospho-Tyr220),1278.5,1520,1856,1462.5,1435,1132.5,1440,1274.5,1112,1054.5,1339,2192,1692,2083.5,2062,1403.5,1235,1362.5,1473.5,2113,1650,1029.5
P73 (Ab-99),473,499,910,632,722,492.5,835,502.5,515,524.5,585,1053.5,599,953.5,953,647.5,326.5,418,840,726,644.5,406.5
FAK (Ab-861),914,975.5,1418.5,1063.5,1285.5,872.5,1188,763,729,909.5,1068.5,1558.5,867,1331.5,1279.5,901,654,745.5,1188.5,1150,1127.5,737
VEGFR2 (Ab-1175),1294,1362.5,1829,1309.5,1584,1086.5,1698.5,1161.5,1014,1144,1474,2322,1611,1963.5,1780.5,1294.5,1177,1148,1604.5,1550.5,1627,943.5
VEGFR2 (Ab-1214),13516,16925,17279.5,14857.5,14673.5,12233,13837,11046,10878.5,10309.5,11131.5,12641,8343.5,15496.5,9268,11938.5,7619.5,10893,14758.5,12996.5,12195,10965.5
VEGFR2 (Ab-951),7155,18812,10479.5,11223.5,12380.5,7336.5,10161.5,9692.5,8034,8177,6192.5,6564.5,5896.5,11002,6300.5,8045.5,3137,4966,7203.5,15770,13195.5,7681
IGF1R (Ab-1161),656,650,1031,697.5,889,525,820,444.5,437.5,662,725,1491,835.5,1159,979,578.5,349.5,499,852.5,759.5,714.5,388.5
IGF1R (Ab-1165/1166),867.5,896,1377,901,1089.5,677,1226.5,578.5,549.5,1053.5,1035,1938.5,1093.5,1436,1138,708.5,496,619,1220.5,1060.5,1107.5,519
Integrin beta-3 (Ab-773),1214.5,1274.5,1788,1288.5,1582,1064.5,1580,908,825,1096.5,1617,2479,1439.5,2183,1496,1092,804.5,969.5,1672,1540,1511,844.5
p53 (Ab-6),701.5,735,1115.5,691.5,1027.5,588.5,1029.5,489.5,471.5,822,895,1494,683.5,1318.5,912.5,580,397.5,523.5,1015,840.5,944,455
p53 (Ab-9),1062.5,1137.5,1519,1050.5,1486.5,839,1282.5,682.5,616.5,1028.5,1010.5,1971,1071.5,1797.5,1242.5,849.5,565.5,802.5,1309.5,1187,1178.5,604
p53 (Ab-15),648,706.5,1037,699.5,924,535.5,931.5,479.5,473.5,692,810.5,1432,724,1258,901,606,411.5,513,1011,810.5,843.5,453
p53 (Ab-18),931,1090.5,1445.5,1044,1337,865,1259.5,639,626.5,937.5,1033,1785.5,872.5,1651,1133.5,755.5,517.5,697,1341,1094,1179,547.5
Chk2 (Ab-68),6944,9178.5,9518,7604,7088.5,5602,6691,4674,4532,4364.5,5140,8415.5,4410,9251.5,6648.5,5486,3626.5,6057,8067,6660,6403,5104.5
p53 (Ab-33),1311,1414,1912,1261.5,1662.5,1142,1624.5,943,952,1289,1304,2129.5,1194,2212.5,1353,1061.5,823,1011,1639.5,1499,1452.5,816
p53 (Ab-37),1114,1150,1562.5,1070.5,1528,952.5,1369,773.5,771,1204,1205,1994,1175,1881.5,1246.5,941,751,869.5,1441,1266.5,1283,739.5
p53 (Ab-46),896.5,906,1342,975,1223.5,782,1150.5,640,598,929.5,1035.5,1874,920.5,1773,1124.5,797,536.5,659,1212,1039.5,1099.5,580.5
p53 (Ab-315),17697.5,13390,13818,18010.5,10839.5,11253.5,12399.5,2477.5,5408,4220,9426,5558,13261.5,18146.5,4031,3884.5,9030.5,11774.5,9129,8560,4843.5,8531
Tau (Ab-356),21072,25905.5,23097,20786.5,23885,19513.5,18908,8950.5,14868.5,13767.5,16864,20022,15589,22788,14167.5,15552.5,13778.5,19142.5,20080,18598.5,17904.5,16093
Tau (Ab-396),1823,2168.5,2703,2296,2236,1783,2221.5,1734.5,1476.5,1521,1972.5,2507,1590,2327.5,1680.5,1479,1113.5,1525,2050.5,2073.5,1777,1287
Dok-1 (Ab-398),862,821,1244.5,894.5,1184.5,729.5,1009,710.5,671.5,762.5,921.5,1433.5,817,1261,1292.5,860.5,562,628.5,1175,990.5,921.5,562.5
Dok-2 (Ab-299),1712.5,1347,1857.5,1436.5,2327,1230,1490.5,1143,997.5,1202,1451.5,2100.5,1373,1699.5,1679,1217.5,1063.5,1140,1649.5,1488,1635,932
eIF2A (Ab-51),1526,1790,2018.5,1743.5,2063.5,1531,2153,1335.5,1175,1375,1641,2135,1504.5,2274,1704.5,1242.5,861,1157,2036.5,1873.5,1814,1161.5
PKR (Ab-446),888.5,968,1340,949.5,1162.5,752,1241,657,589,861,1059,2026.5,1138.5,1393.5,1186,778.5,530,669,1294,1037.5,1015,562.5
GAP43 (Ab-41),3867.5,6460,5577,3617,4046.5,2734.5,3261,1617.5,1438.5,1859.5,2708.5,6005.5,3070.5,4752.5,2152,1891.5,1865,4101,3734.5,3053.5,3029.5,1434
Integrin beta-3 (Ab-785),900.5,1071,1466,1027,1206,802,1229.5,565.5,569,856.5,999,2656.5,1191.5,1422,1207.5,759.5,970,670,1307,1121.5,1038,562.5
Ret (Ab-905),750.5,842.5,1351.5,910.5,1111,636,1174,589,541.5,928,945.5,1946,967.5,1478.5,1109,770,453,572.5,1299.5,1003,978,497.5
P70S6K (Ab-424),956.5,1190.5,1558,1188.5,1321,883,1242,717,642.5,930,1101.5,2238.5,1222,1884,1212.5,924,628,749,1360.5,1223,1150,686
Synuclein alpha (Ab-133),1178.5,1261,1789.5,1327.5,1444.5,1061.5,1519.5,1010.5,909.5,3035.5,1472.5,2552.5,1784.5,2003,1539,1175.5,974,1111.5,1583,1368.5,1726.5,849
CaMK2A (Ab-286),1728.5,1861.5,2066.5,1903,4027.5,1791.5,2321,1388,1393,2465,2358.5,2133.5,1248.5,2236.5,1334.5,1019.5,1012.5,1382.5,2008,1791,2132.5,1602
BIM (Ab-69/65),695,812,1253.5,837.5,1079.5,646.5,1005,544.5,533.5,715.5,895.5,1709.5,783.5,1577,1026,684,406,537.5,1204,958,1020.5,500
CPI17 alpha (Ab-38),652.5,752.5,1124,770.5,1034.5,600,1068,529,534,716,805,1513,820.5,1245,1028,673.5,426.5,551.5,1194,940.5,1002.5,482
PKR (Ab-451),1040.5,1146,1494.5,1047.5,1393.5,866.5,1323.5,708.5,673.5,985.5,1106.5,2108,1432,1920.5,1214.5,816,659.5,748,1399,1149.5,1376.5,595.5
Gab1 (Ab-627),1482.5,1456,1988,1267,1845,1207.5,1675,875.5,851.5,1426.5,1493.5,2354,1212,2231,1463.5,885.5,766,1054.5,1720.5,1368.5,1427.5,830.5
GluR2 (Ab-880),7765.5,9821,11320,9469,9415,7609,8835,7043.5,7121,6261.5,7026,8798,5576.5,11212.5,7152.5,7441,4971.5,6542,9348,8585.5,8284,7161
MARCKS (Ab-158),966.5,1300,2050.5,1422,1742,952.5,1481,861,865,1129,1158.5,1828,1072,2248.5,1859,1232,744,926,1605.5,1440,1384.5,857.5
MEK1 (Ab-291),2083.5,2641.5,2745,2171,2615,1868,2385.5,1259.5,1288.5,1731,1977.5,3000.5,1580.5,3273.5,1926.5,1567.5,1285,1723.5,2488,2245.5,1993,1282.5
NMDAR1 (Ab-897),525.5,527.5,864,595,775.5,452,744,436.5,452,692,672.5,1041.5,488.5,988.5,774.5,863.5,328.5,422.5,804,662.5,699.5,385
PKC delta (Ab-645),1017.5,806,1430.5,1121.5,1404.5,744,1143,809,803,840.5,986.5,1353.5,742.5,1363.5,1182.5,2073,658.5,761,1217,1071,1264.5,761
Tyrosine Hydroxylase (Phospho-Ser8),862.5,666,1072.5,748.5,1742,684,855,647,560,898.5,875.5,1267.5,1232,1135,1090.5,678.5,671,730,974,957.5,1032.5,503.5
VEGFR1 (Phospho-Tyr1333),1208,1002,1511,1136,1974,996,1450.5,967.5,848.5,937,1381.5,2163.5,1535,1610,1427,864.5,689,970,1509,1965,1440.5,784.5
VEGFR2 (Phospho-Tyr1059),917.5,959,1174,840.5,1469.5,781.5,940.5,662,589.5,876,834,1628,998,1365,1029,765,629,665.5,1232,1000,978.5,543.5
WASP (Phospho-Tyr290),1244,1077,1840.5,1394.5,1370,835,1595,958.5,615,949.5,1202,2568.5,2094.5,1589,1366.5,862.5,749,1021.5,1779.5,1491.5,1698.5,796
Zap-70 (Phospho-Tyr292),1005.5,1081,1661.5,1119,1178.5,873.5,1373.5,840.5,786.5,916,1299,2395,1709,1465,1204.5,886.5,682,865.5,1643,1363,1400.5,688
Zap-70 (Phospho-Tyr315),1115.5,1400.5,1645,1128.5,1409.5,967,1459.5,844,744,1032,1232,2344.5,1412.5,1920.5,1273.5,968.5,672,869.5,1529.5,1313.5,1396.5,729
AKT1 (Phospho-Tyr474),1009,1123.5,1622.5,1242,1459.5,867.5,1414.5,885,736,1177,1273.5,2143.5,1149,1580,1204.5,976,654.5,812.5,1543.5,1038,1235,709
AKT1 (Phospho-Ser246),992,1010.5,1692,979,1150.5,971.5,1230.5,987,688.5,1021.5,1102.5,1899,1217,1753.5,1306,945.5,728,908.5,1281,1213,1351.5,681.5
AKT1 (Phospho-Thr72),891,1068,1571,1015.5,1244.5,784.5,1439,718.5,574,882,1089,2388.5,1241,1786,1111,799.5,486,820.5,1529.5,1187.5,1291,567
c-Abl (Phospho-Tyr245),1089,1264,1674.5,1224.5,1442.5,863,1386.5,1073.5,731.5,1166,1326.5,2551.5,1505.5,2121.5,1271.5,910,673,971.5,1603.5,1310,1311,695.5
CDC25C (Phospho-Thr48),940.5,1058,1402,1003,1347.5,821.5,1234,678,667.5,977,2985,2037,1244,1594,1169,860.5,624.5,807,1393.5,1082.5,1266,622.5
Chk1 (Phospho-Ser296),926,1126.5,1569.5,1233.5,1259.5,870,1207.5,750,674.5,833.5,955,1598.5,821.5,1587.5,1190.5,876,575,725,1363,1141,1325,671.5
Raf1 (Phospho-Ser296),1328,1440,1624.5,1580.5,1468.5,1131,1496,997,915,1184,1482.5,2220,1758.5,1533,1200,936.5,864,1039.5,1596,1347.5,2032.5,849
Cyclin B1 (Phospho-Ser147),1500.5,1731.5,2177.5,1674.5,1632,1171,1781.5,1114.5,1068.5,1253.5,1386,2589,1969,2096,1467,1313.5,871.5,1131,1834,1244.5,1629.5,797
Cyclin E1 (Phospho-Thr77),4472,4043,3902.5,2357.5,3773,2300,2649.5,2168.5,2034.5,2502.5,2505.5,3758.5,3334,2875.5,2690.5,2282.5,3798.5,2245.5,2659.5,2823.5,2783,2015
eIF4B (Phospho-Ser422),944,1131,1612.5,1040,1282,869,1276,735.5,705.5,1038.5,1134.5,2293,1453.5,1940,1458.5,1088,749,822.5,1547,1497,1541,678
eIF4G (Phospho-Ser1108),1288.5,1322.5,1993,1286.5,1535.5,1152,1520,1000,875,2162,1454.5,2499.5,1887,1779,1466.5,2860,888.5,943,1891,1727,1604.5,816
IRS-1 (Phospho-Ser794),1152,1320.5,1408.5,1083.5,1500.5,1017.5,1137,950.5,879,1143,1162,1583,1172.5,1800.5,1614.5,1528,677,879,1620,1369.5,1234.5,821.5
LAT (Phospho-Tyr171),994,1206.5,1693.5,1082.5,2015.5,910,1234,766.5,722,923,1086.5,2036,1206.5,2006,1497,1502,728.5,880.5,1480,1280,1499,750.5
P70S6K-beta (Phospho-Ser423),1211,1379.5,1953,1385.5,1903.5,1124,1508,873,892,950.5,1155,1844,1512.5,6179,1670,1023,699,1142.5,1906.5,1247,1264.5,843.5
PAK1 (Phospho-Ser204),1573,1630.5,2194,1674.5,2983,1417,1913,1391.5,1224,1412,1702.5,2540,1731.5,1984,1944.5,1396.5,1177,1322.5,1949.5,1855,1847,1130
PAK2 (Phospho-Ser192),845,1003,1934,1221.5,1197,819.5,1186,774,677,916,907,1369.5,930.5,1843.5,1626.5,821.5,507.5,1038,1665.5,1103.5,1203.5,692
PAK3 (Phospho-Ser154),1487,1186.5,1544,1114.5,1511.5,1073,1381.5,885,855,1048.5,1244.5,2298.5,1663,1601,1381,1042,812.5,1129,1916.5,1282.5,1655,815.5
PKC beta/PKCB (Phospho-Ser661),1232.5,1103.5,1708,1121.5,1327.5,881,1378.5,759.5,664,991,1219.5,2569,1430.5,1827,1542.5,969,804.5,860.5,1667.5,1321.5,1442.5,670.5
PKC delta (Phospho-Tyr64),1303.5,1590,1984,1386,1597.5,1293,1514.5,863,834,1049,1347,2623,1518.5,2121.5,1559,1093.5,755,987.5,1611,1447.5,1582,807
RSK1/2/3/4 (Phospho-Ser221/227/218/232),947.5,1121,1307,1097.5,1289,878,1333.5,819.5,639.5,1062,1179.5,2067,1503,1838,1370,920,604.5,786.5,1319.5,1174,1393,620.5
Src (Phospho-Ser75),1087.5,1119,1847.5,1316,1246,950.5,1483,974.5,692.5,866.5,1209.5,1927.5,902,1849,1623.5,1072.5,610.5,943,1618.5,1413,1181,665
SLP-76 (Phospho-Tyr128),1762.5,1397.5,1739,1151,1459,1066.5,1636.5,2865.5,926.5,1056,1180.5,2584,1298,1753,1388,835.5,890.5,914,1761,1403,1817,908.5
LCK (Phospho-Ser59),1148.5,1156,1591.5,1122.5,1311,847,1320,3181,660,941,1156,1966.5,1127.5,1684,1302.5,873,594.5,776,1488.5,1274.5,1414.5,632
Fos (Phospho-Thr232),1712,2104.5,2692.5,2002,2011,1514.5,2145.5,1475.5,1246,1519,2400.5,3197,1853,2765,2243,1713.5,1455.5,1526.5,2536.5,1814,2555,1199.5
Src (Phospho-Tyr216),1099,1294,1488.5,1144,1364.5,1128,1310.5,803.5,817.5,987.5,1090,1767.5,1143.5,1683,1301,806,630.5,846.5,1422.5,1253.5,1455,654.5
Gab2 (Phospho-Ser159),1306,1393,1795,1256.5,1683,1173,1465.5,766.5,709,1131.5,1248.5,2441.5,1319,2094.5,1447.5,988,789,933,1672.5,2017,1691,717
Pyk2 (Phospho-Tyr579),1059.5,1156.5,1547.5,1087.5,1370,881.5,1335.5,804.5,674.5,960.5,1054,2115.5,1130.5,1744,1263,897,622.5,751,1417,1260,1454,598.5
GRK2 (Phospho-Ser685),1150,1108.5,1537,1215,1346.5,1036,1460,870.5,778.5,983.5,1170,2189,1880.5,2414.5,1700.5,1272.5,849,1110.5,1868.5,1521,1956,790.5
BRCA1 (Phospho-Ser1457),1028.5,1207,1692.5,1176.5,1272.5,1010.5,1640.5,785,824.5,2390,1210,2091,1285,2179.5,1350,1083.5,702,1013.5,1503.5,1339,1818,668.5
Cyclin C (Phospho-Ser275),1017.5,1196,1442,1216.5,1282,845,1262.5,708,694,2454,1079.5,2195,1283.5,2253.5,1371,1155,735,770,1459.5,1259.5,1349.5,648
Gab2 (Phospho-Tyr643),7461.5,9355,5468,4929.5,6618.5,4812.5,4388,4009.5,3711.5,4375,3892,5455,3225.5,5622,3635.5,4098,2569,4851.5,5274.5,4603.5,4841.5,3683
MAPKAPK2 (Phospho-Ser272),1283,1301,1859,1222.5,2175,989,1311.5,661,736,1093,1104.5,1952,1466,1921,1252.5,1067,702,803.5,1456.5,1139.5,1180.5,644.5
HER2 (Phospho-Thr686),768,760,1311,931,1180,751.5,980,642.5,606.5,714.5,944.5,1626,892,7689,1294,935,490,615.5,2496,982,965,541
NFkB-p105/p50 (Ab-927),11418,12766,12700.5,11932,13862,11503.5,12322.5,14425.5,13427,9701,12993.5,12984,11208,13817,11150.5,11997.5,10724,11811.5,12478,12095,13177,11423
Shc (Ab-427),2193,3611.5,1434,2333,3807.5,2737,2530,955,1499.5,2015.5,2898.5,2879,3240,3013.5,2379.5,965,2306.5,2941,4579.5,3114.5,3595,1436
Smad1 (Ab-465),1255,1286,1720,1386,1343,946.5,1472.5,838.5,736.5,1019.5,1190,2065,1899,2206,2023.5,1335,628.5,1105,1896.5,1357.5,1635,735.5
Smad2 (Ab-467),1244.5,1280.5,1692.5,1278.5,1423,1033.5,1608,908,859,989.5,1362.5,2650.5,1586.5,2058,1559.5,1085.5,814.5,975,1697,1408.5,1564.5,809
Smad3 (Ab-425),1320,1561.5,2129.5,1460,1471.5,1153,1723,930,842,1005.5,1331,2562.5,1637.5,2242,1569.5,1212.5,687.5,984,1530,1409,1596,792
FAS (Phospho-Tyr291),935,918,1345,950.5,1136.5,782.5,1101,619.5,534.5,908.5,980.5,2077.5,1163.5,1529,1196.5,801,455,645.5,1308.5,1050,1072.5,471
ACC1 (Ab-80),6885.5,8089.5,6350.5,5830.5,5089.5,3817.5,5606,4359.5,4144.5,3630,5310,5473.5,4473,6883,3380.5,4397,3808,5319.5,5132.5,4663,3994.5,4071
Caspase 6 (Ab-Ser257),1537,2094,2602,2034.5,2072,1542.5,2225.5,3437.5,1554,1366,1670.5,3159.5,2168,2879.5,2179.5,1846,1367.5,1655,2372,2261.5,2386.5,1526.5
Caspase 9 (Ab-125),1592,1996.5,1941,1488.5,1871,1347,1747.5,3363.5,1244.5,1345.5,1572.5,2836.5,1906.5,1942,1743,1150.5,888.5,1183,2053,1886,1814.5,1134.5
c-PLA2 (Ab-505),1270,1469.5,1939,1362.5,1556.5,1397,1624,845,836.5,1001,1378.5,2471,1453,2160,1399,1036,718,950.5,1753.5,1451,1479,765.5
EEF2 (Ab-56),4951.5,5157.5,5605.5,4920.5,5204,4414.5,5014,4759.5,4601.5,3885,4812,5348,4364.5,6004,4446,4307,4220.5,4384.5,5081.5,5111.5,4979,4242.5
HSL (Ab-554),1554,2178.5,1916.5,1722.5,1703,1898,2111.5,1414,1325.5,1408,2287.5,2598.5,1659.5,2845.5,1638,1252,1291.5,1937,2360,3503,2868,1457.5
Pyk2 (Ab-881),3620,17463.5,2863,2545.5,7914,6869,2910,8875,4391.5,2600.5,9162,20118.5,2600,10587,6786,3441,2018.5,8762.5,8541,9458,7897,1871.5
Pyk2 (Ab-580),8321,2151,4016.5,4561.5,4593,3035.5,2571,1936,1615,3791.5,1832.5,2893.5,3664.5,2345.5,1452,1060,1270.5,3605,6328,3688.5,1948,1124.5
SRF (Ab-99),3837,5334,4881,3756,4522.5,3027,3496.5,2512,2263.5,3056,2968,5672.5,3283,6156.5,3227.5,2780.5,2206,2976,4118,3888.5,3480,2389.5
STAT2 (Ab-690),1145.5,1405.5,1926.5,1457.5,1272,1049.5,1512,957.5,944,1461.5,1183.5,2432.5,1567.5,2556.5,1700,1277.5,977.5,1008,1879,1648.5,1769,878
SYK (Ab-348),1437.5,1491.5,1816,1452,1850.5,1282,1603,1241,1192.5,1977,1576,2295,1666.5,2661,1894,1229,1058,1524.5,2380,1551.5,2116,961
SYK (Ab-525),9177,9860.5,9023,8646,12335.5,11526,9195,10845.5,10829,11580.5,9557,8205.5,8715.5,11815,7147,7465.5,7063.5,11440.5,9917,7984.5,10625,8285
CD227/mucin 1 (Ab-1243),740.5,827.5,1182.5,863,1093,731,1046,595.5,571,727.5,876.5,1526,866.5,2088,1175,779.5,504.5,562,1102,878.5,989,512.5
CD4 (Ab-433),4738.5,5772,7215,6340,5568.5,3518,3908.5,4059.5,1701.5,4023,2417,4606,2463,2663,2458,2893,1803,6718,3761.5,2919,4273.5,2157.5
